shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
5-1-8,41.7711681671839,140.732717630441,26
5-1-8,41.7712151615647,140.73287124552,27
5-1-8,41.7713,140.733,28
5-1-8,41.7728069341326,140.734384156908,29
5-1-8,41.77352,140.7353,30
5-1-8,41.77578,140.7381,31
5-1-8,41.776701828555,140.739278197289,32
5-1-8,41.77788,140.7407,33
5-1-8,41.78044,140.744,34
5-1-8,41.78391,140.7483,35
5-1-8,41.7857970609847,140.75066983163,36
5-1-8,41.7859365617743,140.750768722507,37
5-1-8,41.78654,140.7509,38
5-1-8,41.7891084284891,140.751529302543,39
5-1-8,41.7891906655247,140.751591344207,40
5-1-8,41.7892636644157,140.751718428203,41
5-1-8,41.789275,140.751945714286,42
5-1-8,41.7889704214524,140.755019381932,43
5-1-8,41.78876,140.7581,44
5-1-8,41.7886897047162,140.759069517544,45
5-1-8,41.7880177332751,140.764228192847,46
5-1-8,41.78795,140.7651,47
5-1-8,41.7878500076143,140.767293228585,48
5-1-8,41.7873825190732,140.769372553335,49
5-1-8,41.78721,140.769917142857,50
5-1-8,41.7855133199747,140.773672950854,51
5-1-8,41.7845450679006,140.77561399716,52
5-1-8,41.78425,140.7764,53
5-1-8,41.7836935672041,140.778195184353,54
5-1-8,41.7833960638409,140.778961830521,55
5-1-8,41.78328,140.779265714286,56
5-1-8,41.7827107943694,140.780455470085,57
5-1-8,41.7824285282027,140.781129608318,58
5-1-8,41.78196,140.7823,59
5-1-8,41.7816724879904,140.783007329232,60
5-1-8,41.7811674698072,140.783804499871,61
5-1-8,41.7809479544758,140.784087355695,62
5-1-8,41.7803179235701,140.784741698292,63
5-1-8,41.7801251590236,140.785020502526,64
5-1-8,41.78009,140.7851,65
5-1-8,41.7798291657773,140.785611345128,66
5-1-8,41.7797671345724,140.785887876211,67
5-1-8,41.7797243939575,140.786115105711,68
5-1-8,41.7803446740896,140.788031806782,69
5-1-8,41.7806839508307,140.788866877556,70
5-1-8,41.7810462042216,140.789626613671,71
5-1-8,41.78106447179,140.789871802167,72
5-1-8,41.7811,140.79,73
5-1-5,41.77322,140.7042,1
5-1-5,41.7730537690052,140.704454202979,2
5-1-5,41.7728627475779,140.70476516462,3
5-1-5,41.770175,140.709111428571,4
5-1-5,41.7700008544798,140.709375065449,5
5-1-5,41.7675008095621,140.711148938479,6
5-1-5,41.7673824200039,140.711291621017,7
5-1-5,41.7672257037346,140.71150304827,8
5-1-5,41.766665,140.712422857143,9
5-1-5,41.7646672033245,140.715651521846,10
5-1-5,41.7642231702515,140.716395048305,11
5-1-5,41.7640927754536,140.71672793323,12
5-1-5,41.7640045713066,140.717046736145,13
5-1-5,41.7639664860399,140.7174719253,14
5-1-5,41.7639862854147,140.7178264134,15
5-1-5,41.7640522662571,140.718285363797,16
5-1-5,41.7642345720837,140.718986382321,17
5-1-5,41.7643516666668,140.719271428572,18
5-1-5,41.7648024858222,140.720227283123,19
5-1-5,41.7650313170666,140.720667252704,20
5-1-5,41.7652582164152,140.721048242787,21
