stop_id,stop_name,route_count,total_daily_trips,p_morning,p_daytime,p_night,latitude,longitude,elevation,osm_node_id,osm_node_dist
S0141,山の手団地,4,160,0.9817,0.9446,0.8087,41.806767,140.779846,38.3,12314168768,35.6
S0142,山の手１丁目,4,160,0.9817,0.9446,0.8087,41.806767,140.779846,38.3,12314168768,35.6
S0143,山の手２丁目,1,43,0.8031,0.5105,0.3193,41.801025,140.781403,32.2,1925465285,17.7
S0144,山の手３丁目,1,43,0.8031,0.5105,0.3193,41.805927,140.784393,41.3,1923678377,14.6
S0145,工業高校前,6,224,0.9987,0.9729,0.9269,41.78336056,140.8028406,35.2,5545567412,15.0
S0146,工業高校裏,2,67,0.9276,0.6575,0.4596,41.78336056,140.8028406,35.2,5545567412,15.0
S0147,巴中学校,1,31,0.3935,0.3935,0.345,41.779467,140.7509,7.3,4030816335,56.3
S0148,市役所,1,34,0.5831,0.4353,0.2926,41.824167,140.653056,2.5,505082286,4078.4
S0149,市役所前,9,668,1.0,0.9999,0.9995,41.76948,140.725633,1.3,266530547,6.1
S0150,市役所前・平山医院,2,67,0.9276,0.6575,0.4596,41.768688,140.728943,3.7,12090442314,37.4
S0151,市民会館・函館アリーナ前,1,56,0.8031,0.5602,0.5185,41.906414,140.643463,28.4,1620295510,8280.8
S0152,市立函館病院,6,248,0.9993,0.9885,0.9147,41.805449,140.73012,5.0,5739362184,73.5
S0153,市立函館高校前,6,224,0.9987,0.9729,0.9269,41.906414,140.643463,28.4,1620295510,8280.8
S0154,幸坂,5,156,0.9889,0.9361,0.8087,41.895721,140.694412,78.0,1620297125,5306.7
S0155,弥生町,5,156,0.9889,0.9361,0.8087,41.768703,140.706131,23.5,1612100680,30.3
S0156,慰霊碑前,1,33,0.3935,0.3935,0.3697,41.895721,140.694412,78.0,1620297125,5306.7
S0157,戸倉ケ丘団地入口,6,257,0.9996,0.9823,0.9521,41.782669,140.801865,33.3,5545572054,11.6
