node_id,longitude,latitude,elevation,degree,store_density_500m,supermarket_density_500m,stop_density_500m,dist_to_mirai_m,dist_to_station_m,cluster_id
293184597,140.7505216,41.8007409,12.688313611304103,6,10,0,1,4787.1337685227745,3649.317308048507,2
293184763,140.7858426,41.7840849,13.853865887971418,6,5,1,3,6624.997426168495,4943.409174543098,2
293184775,140.7828476,41.7830729,7.326166810262867,6,7,1,3,6681.671031724757,4675.746613673692,2
293184880,140.7827178,41.7864124,9.720480238165743,8,1,0,1,6316.025514231219,4772.585425999376,6
293184885,140.7761602,41.7842499,13.100702424342524,6,2,1,3,6466.130972555466,4183.212614480702,6
293185129,140.7901498,41.7840246,13.791865345450184,6,2,0,6,6723.639326062178,5285.615584794859,6
293185133,140.7896666,41.7828479,10.26282154516381,4,1,0,2,6838.087989558894,5216.509751060152,6
293185284,140.7888061,41.7846745,16.212733183735228,4,1,0,6,6623.488740874447,5196.520351933826,6
293185286,140.7902213,41.7843833,14.83321420604167,6,2,0,6,6687.1239709769625,5301.147165084125,6
293185850,140.7877232,41.7752177,3.033083591879781,8,4,0,0,7619.477745440179,4936.611644863311,6
293185854,140.7879891,41.7763495,3.2083731925658205,6,6,0,11,7502.020957847085,4967.833528382162,2
293185856,140.7886292,41.7772536,3.6754198221489296,6,8,1,12,7416.842341275065,5030.063737919181,2
293185857,140.7890126,41.7777236,3.8882684098123224,6,8,1,2,7373.890483415289,5067.267148768784,2
293185859,140.7893849,41.7781613,4.0134821494717325,8,7,1,2,7334.437718212516,5103.575093620759,2
293185890,140.7920213,41.778712,4.359738656353157,6,2,1,1,7333.443006016756,5327.089520321206,2
293187977,140.8131955,41.7780856,20.733353107462825,6,1,1,1,8063.751081546639,7056.264222690644,0
293187982,140.8128647,41.7781227,20.313784056327357,6,1,1,0,8047.253458073658,7029.447566639312,0
293187988,140.81189,41.7776157,20.357850244210695,6,1,1,0,8059.757327588387,6944.496323731191,0
293188014,140.7937352,41.7739269,6.541554517610747,6,2,1,0,7883.386807422919,5425.56895468342,0
293188019,140.7945971,41.7740897,7.722274710714784,6,1,1,0,7886.248807306469,5497.206810082649,0
293188107,140.8005283,41.7752569,14.753327549598731,4,1,1,0,7919.478486360061,5991.590260287375,0
293188418,140.7338582,41.7946851,3.3296969147648903,6,10,2,4,5930.892569750312,2514.972395950061,5
324961156,140.7116289,41.8466865,21.887044416319544,2,0,0,0,4597.931471011493,8355.337249507027,0
324961167,140.7158625,41.8366232,15.508827669911003,6,0,0,1,4262.653177946014,7197.417076603741,0
